#Size(m=n=k)    Ddot           Daxpy       GPU(mmult)    CublasDdot     CublasDaxpy
500             0.130          0.324       0.001            7.613           0.874
1000            1.082          2.640       0.007           30.185           3.551
1500            5.835         10.579       0.024           67.527           7.818
2000           19.571         35.448       0.059          118.870          14.075
2500           32.496         72.951       0.105          187.010          21.801
3000           60.765        142.537       0.172          266.661          31.545
3500          102.196        219.003       0.278          393.089          45.984
4000          212.221        344.550       0.387          522.564          59.981
4500          286.362        467.543       0.532          612.319          71.606
